Yr,Conf,Team,W,L,GP,SecO_W,SecO_Diff,SnP_val,SnP_pct,SnP_rnk,SnPO_val,SnPO_rnk,SnPD_val,SnPD_rnk,SnPS_val,SnPS_rnk,SoS,SoS_rnk
2017,ACC,Boston College,7,6,13,7,0,4.6,59.5,53,25.2,89,19.9,23,-0.7,91,0.823,15
2017,MWC,San Diego State,10,3,13,8.4,-1.6,4.5,59.3,54,28.5,68,24.8,45,0.9,36,0.957,103
2017,ACC,North Carolina,3,9,12,3.9,0.9,4.3,58.6,55,29.3,58,25.9,58,0.9,33,0.862,44
2017,ACC,Syracuse,4,8,12,3.4,-0.6,4,57.7,56,29.3,57,27.3,66,2,6,0.816,6
2017,MWC,Colorado State,7,6,13,8,1,3.9,57.3,57,34.6,31,32.7,97,2,5,0.925,74
2017,Sun Belt,Appalachian State,9,4,13,9,0,3.8,57.1,58,29.5,55,24.8,46,-0.9,99,0.945,92
2017,Pac-12,Arizona,7,6,13,7.7,0.7,3.7,57,59,38.1,14,33.9,101,-0.5,85,0.913,67
2017,MAC,Ohio,9,4,13,9.8,0.8,3.3,55.7,60,32.2,44,30.6,87,1.7,14,0.974,123
2017,SEC,Kentucky,7,6,13,5.1,-1.9,2.7,54,61,30.8,52,29.5,80,1.5,19,0.859,40
2017,Big Ten,Nebraska,4,8,12,3.7,-0.3,2.5,53.4,62,25.6,85,23.7,40,0.6,46,0.822,13
2017,SEC,Arkansas,4,8,12,4.5,0.5,2.1,52,63,34.1,34,31.8,91,-0.2,75,0.798,3
2017,Pac-12,Colorado,5,7,12,4.7,-0.3,2,51.7,64,30.3,54,30.1,84,1.8,12,0.897,65
2017,Sun Belt,Troy,11,2,13,8.9,-2.1,1.6,50.6,65,27.5,73,23.5,39,-2.4,125,0.953,98
2017,Sun Belt,Arkansas State,7,5,12,8.6,1.6,1.5,50.2,66,29.3,56,28.6,74,0.8,40,0.982,129
2017,SEC,Tennessee,4,8,12,3.6,-0.4,1.2,49.4,67,25.8,83,25.7,55,1.1,26,0.827,16
2017,Pac-12,Arizona State,7,6,13,5,-2,1,48.8,68,33.9,35,33.1,99,0.2,60,0.873,52
2017,ACC,Virginia,6,7,13,5.9,-0.1,0.8,48.3,69,25,91,23.3,37,-0.9,96,0.876,53
2017,SEC,Vanderbilt,5,7,12,5.3,0.3,0.6,47.7,70,32.3,41,29,79,-2.6,128,0.838,25
2017,AAC,Temple,7,6,13,7.4,0.4,0.5,47.2,71,25.1,90,24.1,42,-0.5,87,0.925,76
2017,Big Ten,Minnesota,5,7,12,5.4,0.4,0.4,47,72,23.9,100,22.1,31,-1.4,110,0.877,54
2017,AAC,Navy,7,6,13,6.2,-0.8,-0.7,43.5,73,32.5,39,32.1,93,-1.2,106,0.917,69
2017,Pac-12,California,5,7,12,4.6,-0.4,-1,42.9,74,28.7,62,29.9,82,0.3,57,0.87,48
2017,MAC,Northern Illinois,8,5,13,8,0,-1.4,41.6,75,21,112,20.5,26,-1.9,119,0.964,113
2017,Big 12,Baylor,1,11,12,2.6,1.6,-1.4,41.5,76,26.9,78,29,77,0.6,45,0.858,39
2017,MAC,Miami-OH,5,7,12,7.5,2.5,-2.2,39.3,77,24.2,96,26.9,64,0.6,47,0.957,105
2017,MAC,Western Michigan,6,6,12,6.3,0.3,-2.4,38.8,78,25.7,84,28.4,73,0.4,53,0.945,90
2017,MWC,Wyoming,8,5,13,7.5,-0.5,-2.5,38.4,79,19.7,115,23.1,36,0.9,32,0.954,100
2017,C-USA,UTSA,6,5,11,6.8,0.8,-2.5,38.4,80,18.7,119,22.5,34,1.3,23,0.985,130
2017,MWC,Fresno State,10,4,14,9.4,-0.6,-2.7,37.8,81,22.3,106,25.5,53,0.5,49,0.895,63
2017,AAC,SMU,7,6,13,6.6,-0.4,-2.9,37.3,82,35.4,25,37.4,113,-0.9,98,0.926,77
2017,MWC,Utah State,6,7,13,7,1,-3.3,36,83,24.4,95,28,67,0.3,56,0.927,78
2017,C-USA,Southern Miss,8,5,13,7.9,-0.1,-3.4,35.8,84,24.9,92,28.3,71,0,69,0.979,128
2017,C-USA,Marshall,8,5,13,7.5,-0.5,-4.5,32.8,85,19.4,116,23.9,41,0.1,66,0.962,110
2017,Big Ten,Maryland,4,8,12,3.9,-0.1,-4.5,32.8,86,26.7,80,28.3,72,-2.9,130,0.781,2
2017,C-USA,North Texas,9,5,14,8.5,-0.5,-4.5,32.7,87,28.6,65,34.3,103,1.2,25,0.964,114
